indel_size	fq
-58	1
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	4
-49	0
-48	433
-47	58
-46	1
-45	0
-44	0
-43	0
-42	0
-41	0
-40	0
-39	1
-38	1
-37	0
-36	1
-35	7
-34	7
-33	0
-32	0
-31	2
-30	486
-29	0
-28	5
-27	0
-26	1
-25	1094
-24	0
-23	1
-22	0
-21	0
-20	4
-19	2
-18	15
-17	1
-16	698
-15	2
-14	4
-13	7
-12	14
-11	8
-10	1816
-9	4
-8	664
-7	752
-6	119
-5	363
-4	660
-3	8
-2	8577
-1	1477
0	205571
1	158
2	934
3	3
4	5
5	8
6	9
7	0
8	27
9	0
10	14
11	380
12	59
13	0
14	0
15	5
16	0
17	0
18	0
19	0
20	0
21	3
22	0
23	17
24	2
25	0
26	0
27	0
28	0
29	65
30	16
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	6
