indel_size	fq
-68	1
-67	0
-66	0
-65	0
-64	0
-63	0
-62	1
-61	0
-60	0
-59	1
-58	1
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	0
-49	0
-48	554
-47	106
-46	0
-45	0
-44	0
-43	0
-42	0
-41	0
-40	0
-39	2
-38	0
-37	0
-36	0
-35	8
-34	8
-33	0
-32	0
-31	2
-30	586
-29	4
-28	4
-27	0
-26	1
-25	1471
-24	0
-23	2
-22	0
-21	0
-20	5
-19	0
-18	11
-17	0
-16	840
-15	0
-14	3
-13	5
-12	15
-11	11
-10	2112
-9	8
-8	791
-7	803
-6	147
-5	400
-4	880
-3	9
-2	9838
-1	2169
0	260438
1	192
2	975
3	1
4	3
5	5
6	7
7	0
8	21
9	1
10	15
11	383
12	26
13	1
14	0
15	5
16	0
17	0
18	0
19	0
20	0
21	6
22	0
23	29
24	1
25	0
26	0
27	2
28	2
29	72
30	24
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	1
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	4
61	0
62	0
63	1
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	5
